Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104
Metabolite Name,54C,29H,6H,37H,56C,154C,68C,10C,9C,78C,52H,62C,88C,34H,56H,132C,66C,13H,31H,11H,74C,1C,130C,10H,114C,9H,35H,112C,21C,142C,45H,118C,41H,170C,52C,122C,108C,40H,64C,72C,98C,148C,116C,96C,166C,17C,140C,60C,49H,36C,20C,100C,33H,8H,81C,14C,164C,152C,28H,23H,44H,134C,7H,158C,168C,3C,146C,54H,57H,94C,12H,34C,42H,136C,46H,172C,55H,120C,14H,35C,24H,48H,20H,156C,16H,48C,30H,17H,27H,50H,144C,110C,21H,15H,160C,45C,19H,70C,39H,150C,92C,58C,47H
Factors,Class:Cancer,Class:Healthy,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Cancer,Class:Cancer,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Healthy,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Healthy,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Healthy,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Healthy,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy
209.2013,0,0.462,0,0.781,0,0,0,0,0,0.027,0.227,0,0,0.256,0.598,0.189,0,0.116,0.278,0.072,0,0,0,0.159,0.008,0.277,1.264,0.156,0,0.151,0.648,0,1.459,0,0.441,0,0,0.453,0.019,0.011,0.006,0.28,0,0,0.01,0.074,0,0.143,0.783,0.016,0.005,0,0.629,0.027,0,0.017,0.016,0.018,0.46,0.237,0.812,0,0.143,0,0.122,0.023,0.013,0.718,0.903,0.003,0.318,0,0.662,0.012,0.585,0,0.86,0,0.287,0,0.005,0.353,0.01,0.011,0,0,0.499,0,0.316,0.579,0,0,0,0.071,0.012,0.006,0,0,0.203,0,0.006,0,0.126
267.0316,0,0,0,18.209,0,0,0,0,0,0,15.665,0,0,0,16.379,0,0,0,0,0,10.39,22.953,0,7.058,0,7.94,15.45,0,0,0,7.071,0,15.145,0,12.236,0,0,8.554,8.837,0,0,6.386,0,0,0,0,0,0,13.321,0,0,0,9.327,0,0,0,9.498,0,10.31,7.732,6.287,0,9.421,0,0,0,0,10.082,11.13,0,0,0,9.589,0,10.455,0,10.181,0,7.256,0,0,7.63,0,0,0,0,10.84,0,9.058,10.23,0,0,0,7.193,0,0,0,0,0,0,0,0,0
93.0342,0,0,0,10.212,0,0,33.869,0,0,0,0,0,0,80.052,0,0,0,0,463.828,0,25.886,0,10.053,7.546,13.051,16.396,27.537,6.777,14.78,0,0,0,0,0,23.141,9.881,22.345,5.294,7.272,4.746,0,3.644,0,20.288,0,5.937,21.322,19.269,6.537,14.887,15.374,6.391,3.642,51.081,0,6.667,7.072,5.829,0,0,7.484,10.021,14.854,7.751,7.33,0,0,54.413,12.592,23.552,92.796,10.556,23.487,0,0,0,22.379,10.827,0,7.492,4.958,7.184,0,6.953,5.471,0,4.765,71.758,2.698,15.751,0,0,6.941,0,17.341,0,46.031,0,8.421,10.062,10.328,0,0
481.2428,0,0,0,0,0,0,0,0,0,0,44.582,0,0,0,32.67,0,0,0,0,0,0,0,0,0,0,26.711,0,24.446,0,52.826,30.057,0,27.461,0,32.166,0,0,22.024,0,23.599,0,22.925,0,0,0,0,0,0,35.742,0,0,0,18.731,16.792,0,0,0,0,25.299,0,34.129,24.009,0,0,0,0,0,21.666,28.895,32.022,36.401,0,29.294,0,29.466,0,23.344,0,16.56,0,0,15.098,20.004,0,0,0,20.915,0,15.387,21.326,0,0,0,23.449,17.694,28.03,21.16,0,22.183,0,0,26.993,0
346.0548,2.809,0,2.135,1.814,3.074,2.988,2.423,2.975,1.977,1.63,1.524,0,3.427,0,0,2.467,1.782,1.219,0,1.141,5.246,1.761,2.836,1.28,9.456,1.869,1.16,1.803,12.411,1.873,2.539,9.275,1.762,5.099,0,5.776,0,0,0,0,7.294,0,15.076,7.327,6.832,0,4.566,0,0,0,0,0,0,9.338,0,0,19.533,0,0,1.71,1.535,3.215,1.35,4.593,2.487,0,0,0,1.606,0,0,0,0,11.128,2.581,4.135,0,13.565,0.834,0.824,0.724,0.21,0.626,10.068,0.777,1.809,0.635,0.545,0.761,0.242,24.81,1.456,1.033,1.324,0.616,1.303,4.245,7.595,1.077,2.4,1.959,3.204,4.974
245.2716,2.212,10.823,2.206,6.846,0.82,8.552,5.051,2.668,1.655,1.732,9.87,3.071,1.489,11.37,11.045,8.567,5.633,8.544,10.916,7.965,0.707,1.78,0.053,7.247,1.164,4.569,6.591,3.77,3.744,5.569,11.077,0.699,11.086,0.135,10.262,1.088,4.608,8.367,3.502,4.394,1.276,6.976,0.565,0.773,1.352,5.883,1.216,0.216,9.092,0.295,0.396,0.211,4.42,4.926,0.108,0.021,3.384,1.306,3.938,4.926,8.727,0.095,7.474,0.021,3.41,0.563,5.313,8.259,5.092,0.104,8.607,0.042,4.491,0.073,9.709,0.319,7.949,0.025,8.578,0.009,0.958,6.752,0.024,1.762,2.05,0.028,4.576,1.085,4.636,6.665,0.08,5.052,2.241,2.313,1.491,0.088,0.177,0.929,5.779,0.193,1.771,3.168,5.576
609.3128,0,0,8.522,6.694,0,0,0,0,14.975,0,0,3.571,0,0,4.301,0,3.875,10.858,0,0.415,0.838,0.204,0,0.358,0.917,0.464,0,0.134,0,0.122,0.956,0,0,7.391,1.547,0,0,0.084,0.131,20.948,1.226,30.783,0.312,27.409,1.862,0.384,0,0.829,13.238,0.23,0,0.249,0,3.004,0.412,0,6.009,7.876,0.413,0,7.15,0,13.995,0.701,0,0,0,0,0,0,1.179,0,0,0,0,0,0,37.44,0,78.805,0.043,0,0.097,51.274,0,0.642,3.45,1.518,0.431,0.248,2.182,0.067,0.081,0,0.19,4.345,0,0.179,0,0,0,0,0.431
431.2579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.024,2.398,0,0,2.3,0,1.894,0,3.064,2.612,0,2.13,0,0,0,2.04,0,0,0,3.524,0,0,3.598,0,0,0,2.741,3.77,0,0,0,0,3.533,2.816,2.683,2.54,3.204,0,0,0,0,0,0,0,2.823,0,0,0,3.13,0,2.421,2.174,2.468,2.119,2.544,2.434,2.015,3.103,3.17,1.97,2.545,2.683,1.682,3.107,1.979,3.038,2.479,2.009,1.991,2.282,0,0,2.23,0,2.58,0,0
