,Sample,20[80114-1-U3]R.mzXML Peak height,14[80106-1-U3]R.mzXML Peak height,16[80110-1-U3]R.mzXML Peak height,12[80104-1-U3]R.mzXML Peak height,15[80107-1-U3]R.mzXML Peak height,17[80111-1-U3]R.mzXML Peak height,13[80105-1-U3]R.mzXML Peak height,11[80103-1-U3]R.mzXML Peak height,25[50013-1-U3]R.mzXML Peak height,24[50012-1-U3]R.mzXML Peak height,21[50009-1-U3]R.mzXML Peak height,19[80113-1-U3]R.mzXML Peak height,18[80112-1-U3]R.mzXML Peak height,1[40011-1-U3]R.mzXML Peak height,10[40007-1-U3]R.mzXML Peak height,27[50015-1-U3]R.mzXML Peak height,26[50014-1-U3]R.mzXML Peak height,28[50016-1-U3]R.mzXML Peak height,31[60195-1-U3]R.mzXML Peak height,22[50010-1-U3]R.mzXML Peak height,30[50018-1-U3]R.mzXML Peak height,23[50011-1-U3]R.mzXML Peak height,29[50020-1-U3]R.mzXML Peak height,3[40003-1-U3]R.mzXML Peak height,39[60253-1-U3]R.mzXML Peak height,37[60251-1-U3]R.mzXML Peak height,2[40012-1-U3]R.mzXML Peak height,38[60252-1-U3]R.mzXML Peak height,33[60197-1-U3]R.mzXML Peak height,32[60196-1-U3]R.mzXML Peak height,40[60254-1-U3]R.mzXML Peak height,34[60198-1-U3]R.mzXML Peak height,36[60250-1-U3]R.mzXML Peak height,35[60247-1-U3]R.mzXML Peak height,4[40001-1-U3]R.mzXML Peak height,5[40002-1-U3]R.mzXML Peak height,6[40009-1-U3]R.mzXML Peak height,7[40010-1-U3]R.mzXML Peak height,9[40006-1-U3]R.mzXML Peak height,8[40005-1-U3]R.mzXML Peak height,45[Pr-EH0033]R.mzXML Peak height,42[Pr-EH0030]R.mzXML Peak height,41[Pr-EH0029]R.mzXML Peak height,50[Pr-EH0039]R.mzXML Peak height,48[Pr-EH0036]R.mzXML Peak height,44[Pr-EH0032]R.mzXML Peak height,47[Pr-EH0035]R.mzXML Peak height,46[Pr-EH0034]R.mzXML Peak height,51[Pr-EH0081]R.mzXML Peak height,43[Pr-EH0031]R.mzXML Peak height,59[Pr-EH0090]R.mzXML Peak height,52[Pr-EH0082]R.mzXML Peak height,63[Pr-EH0215]R.mzXML Peak height,58[Pr-EH0089]R.mzXML Peak height,55[Pr-EH0085]R.mzXML Peak height,53[Pr-EH0084]R.mzXML Peak height,49[Pr-EH0037]R.mzXML Peak height,69[Pr-EH0237]R.mzXML Peak height,64[Pr-EH0217]R.mzXML Peak height,56[Pr-EH0086]R.mzXML Peak height,65[Pr-EH0223]R.mzXML Peak height,54[Pr-EH0083]R.mzXML Peak height,57[Pr-EH0088]R.mzXML Peak height,62[Pr-EH0213]R.mzXML Peak height,60[Pr-EH0091]R.mzXML Peak height,68[Pr-EH0234]R.mzXML Peak height,78[Pr-EH0352]R.mzXML Peak height,61[Pr-EH0212]R.mzXML Peak height,70[Pr-EH0242]R.mzXML Peak height,66[Pr-EH0232]R.mzXML Peak height,71[Pr-EH0339]R.mzXML Peak height,80[Pr-EH0354]R.mzXML Peak height,74[Pr-EH0349]R.mzXML Peak height,77[Pr-EH0351]R.mzXML Peak height,76[Pr-EH0350]R.mzXML Peak height,72[Pr-EH0340]R.mzXML Peak height,73[Pr-EH0344]R.mzXML Peak height,67[Pr-EH0233]R.mzXML Peak height,75[Pr-EH0335]R.mzXML Peak height,79[Pr-EH0353]R.mzXML Peak height
,"71,0604","1,07E+03","470926,05","1,07E+03","1,07E+03","1,07E+03","1,07E+03","1,07E+03","29314,57612","1,07E+03","1,07E+03","35427,2942","1,07E+03","1,07E+03","1,07E+03","1,07E+03","1,07E+03","1,07E+03","185016,2228","1,07E+03","1,07E+03","1,07E+03","1,07E+03","1,07E+03","38869,66138","1,07E+03","583205,3205","1,07E+03","1,07E+03","1,07E+03","1,07E+03","27758,10469","1,07E+03","25313,07779","23129,41641","1,07E+03","14854,11334","337482,9777","1,07E+03","1,07E+03","30301,30279","3807,699038","3807,699038","3807,699038","3807,699038","3807,699038","3807,699038","3807,699038","15687,57059","3807,699038","25281,975","3807,699038","3807,699038","3807,699038","27376,91574","3807,699038","3807,699038","3807,699038","3807,699038","3807,699038","3807,699038","41697,85424","3807,699038","3807,699038","42119,81853","22156,13415","38850,88929","3807,699038","25947,95759","31700,66462","3807,699038","30318,94029","27447,49989","35896,11094","3807,699038","35864,06518","3807,699038","3807,699038","3807,699038","3807,699038","3807,699038"
,"74,0719","50135,88772","78442,58393","43310,46819","100767,9705","139209,3375","61721,08415","33093,55469","107309,2737","2140,956948","84444,91384","74097,64955","315009,8478","63178,46987","1,07E+03","1,07E+03","94653,03661","39157,67857","55559,51384","32548,77679","25555,31071","78820,12109","94394,58884","42012,46049","68062,78929","73046,95089","92406,51183","62632,35246","94748,31384","57489,82634","72694,80536","239643,6125","35432,3942","100863,3652","64812,40402","66940,55759","54775,93214","37349,47054","47223,33616","44825,0346","132510,379","186236,525","261039,1808","84852,25022","246687,7379","130968,029","137854,7971","161190,254","31562,80904","186602,5232","89309,04018","188643,0929","102885,3964","84843,12946","83990,25313","3807,699038","78665,48884","98118,93237","158813,9004","96979,88616","119261,5672","285366,8199","129608,4549","82464,75692","329973,5951","66001,39955","193190,679","82000,4942","87751,03259","254969,4491","53743,53817","54418,11183","62928,74063","234213,933","176889,4386","168353,5406","36087,42924","48845,83438","55063,05313","119045,8161","38705,99844"
,"76,0585","297067,9268","154464,4545","110701,9132","149337,3225","161530,9458","147001,1458","1,07E+03","120995,6746","2471,556906","39693,66808","25167,28951","76593,62143","45435,92277","1,07E+03","1,07E+03","157765,5833","32187,68616","182635,4246","1,07E+03","1,07E+03","111668,5136","37189,15446","163625,0123","39978,47121","1,07E+03","1,07E+03","49935,62991","1,07E+03","100439,1795","33875,90379","43338,89308","28254,75513","47988,22991","25928,45502","39945,98147","91567,28259","57851,68683","200638,9121","54069,96384","106535,7145","36495,37612","46346,33728","47109,42779","159035,8969","115324,465","3807,699038","40501,53996","16024,99118","56511,76429","41684,03415","113496,2384","107634,5853","45516,7221","55275,76808","3807,699038","48839,84263","33402,41964","150403,0246","39039,99152","40899,21094","68297,28304","25948,73359","3807,699038","52211,42076","75993,15893","3807,699038","3807,699038","124058,0228","32984,97857","99147,19978","3807,699038","41109,91607","3807,699038","3807,699038","80005,03795","3807,699038","3807,699038","3807,699038","49617,44464","3807,699038"
,"76,0763","2,75E+08","1,04E+08","1,00E+08","1,40E+08","1,37E+08","1,31E+08","2,86E+07","1,44E+08","2279829,253","5,91E+07","5,94E+07","1,25E+08","4,74E+07","7850896,986","1,23E+07","1,32E+08","2,82E+07","1,64E+08","1,39E+07","1,60E+07","9,83E+07","6,30E+07","1,58E+08","7,45E+07","3,45E+07","1,04E+08","4,45E+07","4,96E+07","1,13E+08","6,76E+07","5,33E+07","3,81E+07","7,71E+07","3,51E+07","4,84E+07","7,11E+07","9,88E+07","1,83E+08","5,96E+07","9,03E+07","4,99E+07","7,11E+07","4,88E+07","1,36E+08","7,96E+07","1,33E+07","7,08E+07","2,44E+07","5,30E+07","4,66E+07","1,15E+08","1,06E+08","6,01E+07","4,47E+07","3,85E+07","8,49E+07","3,76E+07","1,10E+08","3,52E+07","6,11E+07","6,11E+07","3,18E+07","3,03E+07","4,61E+07","8,39E+07","4,18E+07","2,31E+07","1,14E+08","5,52E+07","1,10E+08","4,00E+07","4,21E+07","2,26E+07","6,19E+07","8,23E+07","2,15E+07","1,29E+07","3,32E+07","6,99E+07","2227224,225"
,"77,0733","779190,3179","320754,0442","253602,5509","370438,783","437331,6254","350870,1071","118297,4739","434353,8304","3464,599051","168767,9188","164712,6008","486905,8884","134852,8355","1,07E+03","35739,21004","455805,9152","59219,5721","422903,3714","42529,0404","32303,40759","264707,3808","139336,6545","464800,3237","161928,0922","102676,3522","398972,4027","111755,3926","139841,3757","306940,5554","200833,8388","144527,5824","86311,62779","184312,5299","48622,28058","188867,3353","176502,6078","300955,2712","484031,7563","175166,6944","256432,8393","196741,8125","213179,3183","185925,8703","366420,7946","202245,3627","31179,75882","281208,3826","44425,15893","157624,1848","124812,9045","428269,7933","307443,117","194303,9683","125210,7445","85518,77321","237203,902","106164,3194","318570,3022","73711,05714","178379,0321","182047,3027","72695,62958","88144,63036","79361,78304","240168,4808","79384,01964","105342,5795","300577,808","200532,1568","296932,2482","74680,60536","86672,9308","59232,78504","225938,8737","231011,0272","41288,4654","52514,71518","89566,61071","253996,2143","3807,699038"
,"78,0805","602601,8866","115859,7281","172801,1041","190647,7183","266978,5554","250797,2357","43266,35089","219799,0779","2369,119099","99739,8625","122056,9672","167364,4","55216,90692","1,07E+03","22743,68527","222947,2058","38790,42165","304130,0746","49584,30223","19458,18672","180550,0902","76730,2058","276843,0679","107171,803","51340,31875","201773,4607","71932,31719","68815,9317","202918,3074","106855,1838","93054,38348","50918,91496","120864,6094","73139,23259","108140,2487","135195,479","140301,3643","301363,7853","119742,5107","138885,8181","75800,82946","145500,7442","63202,38371","262467,9929","163038,7799","25201,37868","129911,3085","25486,81741","85663,58616","96240,83371","225550,1087","167357,3768","179240,4732","110438,579","71389,21563","84348,91518","58928,17232","206756,6315","93014,52969","80756,55714","125258,0694","44623,2798","38217,0625","113029,1286","182829,136","70231,11339","3807,699038","212434,979","70687,54821","225527,0288","79298,79688","86804,55","45844,8221","133974,9346","183685,1357","43659,66975","40531,45313","42191,48795","123281,5665","3807,699038"
,"80,9484","63776,68393","216994,2638","340562,8839","1146539,005","1,07E+03","51334,90379","386568,4527","354581,5866","1,07E+03","871117,2911","777082,4768","58321,92277","514669,0946","20418,50268","402655,3679","38883,91786","907509,5366","1,07E+03","100226,308","98094,37902","848010,408","503854,3982","277987,9817","597854,8938","893880,2","520865,0469","346056,9817","478637,8973","283591,604","341951,6629","96826,9808","284727,6839","117636,05","606830,4902","631477,4696","50740,45513","336380,8473","103266,0165","520115,2741","1,07E+03","354049,0763","74278,2442","54599,71205","3807,699038","465307,204","328632,0344","3807,699038","159190,4643","257679,902","239958,6888","485096,3179","395517,0116","3807,699038","257251,3435","627607,6848","127347,7375","685957,2223","198733,0438","39879,7308","201730,375","52521,38237","336691,2009","645201,7366","149208,5286","63517,27924","94659,02054","3807,699038","89068,83795","65238,72188","365113,5728","174876,4031","248798,1705","175303,8991","1470148,516","445476,0473","643853,6723","540895,6643","131565,4299","3807,699038","316545,4616"
,"82,9454","1,07E+03","60762,84196","151374,1759","326463,4438","1,07E+03","36219,34621","172593,4638","89536,56384","1,07E+03","244599,0598","263472,0134","1,07E+03","186031,0848","1,07E+03","127142,994","1,07E+03","298703,0181","1,07E+03","51513,8971","25599,70424","259742,9333","178351,7282","56866,29018","244696,7232","301567,0944","113569,6536","85559,78571","159607,6567","103670,954","122239,8191","39257,72433","105717,6156","27759,3019","198752,3297","193327,6641","19265,62567","89650,90402","41270,48259","205384,2417","30158,03605","128479,1297","3807,699038","23527,2202","3807,699038","117564,4362","88701,97277","3807,699038","47633,70201","73207,91964","73075,42589","64179,97857","103573,2665","3807,699038","109907,2665","203780,6853","3807,699038","243246,908","40405,1067","28001,40201","67714,62009","3807,699038","97357,88672","192743,9908","3807,699038","3807,699038","57938,39063","3807,699038","3807,699038","43601,77455","113814,4904","87299,91272","71787,43304","65912,85536","265320,7665","152880,8219","225341,2661","88597,28348","74830,37857","42815,40313","156245,6561"
,"83,0221","4,17E+07","5,33E+07","8,19E+07","1,53E+08","2,73E+07","4,14E+07","4,94E+07","1,09E+08","2506292,384","1,41E+08","1,11E+08","1,22E+08","1,47E+08","8930966,143","7,82E+07","1,71E+07","1,27E+08","2,20E+07","4,54E+07","2,73E+07","7,05E+07","9,94E+07","1,25E+08","1,16E+08","1,35E+08","4,48E+07","1,14E+08","2,46E+08","4,11E+07","4,44E+07","5,78E+07","1,84E+07","3,32E+07","3,66E+07","1,33E+08","2,02E+07","1,58E+08","2,10E+07","1,09E+08","1,83E+07","6,29E+07","4,05E+07","2,11E+07","1,57E+07","7,09E+07","5,94E+07","2,07E+07","1,67E+08","1,96E+08","3,08E+07","5,98E+07","1,09E+08","1,47E+07","5,67E+07","7,61E+07","5,12E+07","1,28E+08","6,04E+07","3,00E+07","1,04E+08","5,72E+07","4,73E+07","9,86E+07","8,25E+07","6,42E+07","1,89E+08","2,38E+07","5,26E+07","9,17E+07","7,58E+07","2,84E+07","1,30E+08","1,05E+08","2,34E+08","7,94E+07","9,55E+07","1,75E+08","3,32E+07","4,97E+07","3,75E+07"
,"83,0416","1,07E+03","83149,375","78225,65625","190248,2656","1,07E+03","1,07E+03","61026,79297","95847,33594","1,07E+03","147021,5625","88421,25781","145572,7656","138405,4844","1,07E+03","83869,44531","1,07E+03","126867,8516","29593,39888","1,07E+03","55422,75391","68150,15625","102594,125","121691,9141","121392,9844","143577,8125","1,07E+03","140517,3594","242762,0781","1,07E+03","1,07E+03","1,07E+03","1,07E+03","1,07E+03","49011,53906","155597,4063","1,07E+03","117620,7031","51270,19141","105475,7656","1,07E+03","76230,73438","3807,699038","3807,699038","3807,699038","96299,625","65365,14844","3807,699038","143624,0313","198359,9063","3807,699038","3807,699038","119312,7109","3807,699038","3807,699038","95391,78906","3807,699038","103532,5859","95260,33594","3807,699038","114455,5","3807,699038","3807,699038","100646,7031","95821,125","86379,48438","219714,75","3807,699038","3807,699038","101280,4141","82068,98438","3807,699038","232629,6094","85014,29688","271975,5938","92370,30469","99251,78906","160248,0625","3807,699038","3807,699038","3807,699038"
